,tweets_original,tweets_translater_unicamp,tweets_translater_face
0,Que coisa linda! O Programa #encontro estava mostrando uma familia que adotou um adolescente de 18 anos. Que amor!!!,The #encontro Program was showing a family that adopted a 18,What a beautiful thing! The #touch program was showing a family who adopted a 18-year-old teenager. What love!!!
1,"Por mais #Encontro com as Irmãs Galvão, adorei elas.",I loved them.,"For more I met with the Galvan Sisters, I loved them."
2,"Mr. CATRA  lançando sua nova música PPK CHORA no  k k k👅😉
#TheNoite #MrCatra #PpkChora",CATRA launching its new song PPK CHORA no k,Mr. CATRA releases his new song PPK CHORA on k k<unk>😉 #TheNoite #MrCatra #PpkChora
3,quem viu aquela lutadora modela barbuda tatuada? #MasterChefBR,#MasterChefBR,Who saw that fighter model tattooed? #MasterChefBR
4,Tô passada com esse cara.... quanta merda pode sair da boca de alguém em alguns minutos! 😠 #Encontro,"I'm handled with this guy.... how mu""",How much shit can come out of someone’s mouth in a few minutes!
5,"Cibele arrasou, humilhou!! #VideoShowAoVivo",#VideoShowAoVideo,"The cave has broken, humiliated!! #VideoShowAoVivo"
6,Em Minas sacolé é chup chup!  #videoshowaovivo,In Minas sacolé is chup chup! #videoshowaovivo,In Minas sacolé is chup chup! #videohowaovivo
7,"Meu prato MasterChef de sardinha enlatada seria jogar ela no prato, cozinhar arroz e ainda colocar batata palha junto #MasterChefBR",My dish MasterChef of sauced sardine would be to th,"My MasterChef dish of enlated sardine would be playing it on the dish, cook rice and still put potato palma next to #MasterChefBR"
8,"Esse japa não entendi porra nenhuma de orquídeas. Essa não é catleya Walkiriana, é uma Nobilior #encontro","This is not catleya Walkiriana, it is a Nobilior #me","This japa I didn't understand any of orchids. This is not catleya Walkiriana, it's a Nobilior #encounter"
9,A Cearamirinense mais famosa do Brasil no #Edecasa  ♥ Linda,The most famous Cearamirinense in Brazil in #Edecasa ♥,The most famous Cearamirinense in Brazil at #Edecasa ♥ Linda
10,"nào sei vocês, mas quero  no #powercoupleBrasil com a  e num reality tipo Dr Rey. Até no #MasterChefBR tá bom","Even in #MasterChefBR it's good, I want to""","I know you, but I want to #powercoupleBrasil with a and a reality like Dr. Rey."
11,"Tem q passar essa entrevista em telões nas praças
#TheNoite",It is important to pass this interview on squares on the,It has q to spend this interview on telons on the #TheNoite squares
12,Estou todo derretido com o amor do Serginho e Thomas no #AltasHoras,I am all melted with the love of Serginho and Thomas in #,I'm all overwhelmed with the love of Serginho and Thomas in #AltasHoras
13,Fatima Bernardes sobre o sotaque hahaha coerência profissional #VideoShowAoVivo,Fatima Bernardes on the accent hahahahahahahahahaha,Fatima Bernardes on the accent hahaha professional coherence #VideoShowAoVivo
14,Augusto Cury no #ConversaComBial IMPERDÍVEL!!!,Augusto Cury in #IMPERDIBLE ConversaComBial!!!,August Cury on #ConversaComBial IMPERDIBLE!!!
15,#VideoShowAoVivo Sophia super sensual com essa roupa!!!!!!!!,"The women's lifestyle is very sensual with this clothe""",#VideoShowAoVivo Sophia super sensual with this dress!!!!
16,Caraaaaaa não dormi ainda por causa desse cara: Padre Fábio de Melo ❤️ quanta sabedoria!!! #conversacombial,Father Fábio de Melo ❤️ how much wisdom!!! #,"I'm not sure I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it."
17,"Depois eu vou assistir, espero que ela cante a nova música!
#Encontro
#SandyNoEncontro","After I'm watching, I hope she will get the new""","Then I'm going to watch, I hope she's singing the new song! #Meet #SandyNoMeet"
18,ai mds é agora #MasterChefBR,Ai mds is now #MasterChefBR,AI is now #MasterChefBR
19,Aí vc fica até 01h00 assistindo #MasterChefBR e acorda cedo pra ir trabalhar parecendo um zumbi,Then you stay for up to 01:00 a.m. watching #Ma,Here you stay until 1h00 watching #MasterChefBR and wake up early to go to work like a zumbi
20,fico assistindo #MasterChefBR  dá muuuita vontade de comer rs,I keep watching #MasterChefBR I get a lot,I stay watching #MasterChefBR gives muuuita will to eat rs
21,Imagina que insuportável ter de dar de comer pra uma gente que calcula CADA CALORIA que come? Jesus... #MasterChefBR,Jesus... #MasterChefBR Imagine how unbearable,Imagine how unbearable it is to have to give food to a people who calculates Every CALORY they eat?
22,#MasterChefBR Começaaaaaaaaaaaaaaaaaaaaa a hora de procurar algo na geladeira pra comer e acompanhar este show na TV !!!! 😆,The time to seek something in the refrigerator to eat and fo,#MasterChefBR Begins the time to look for something in the refrigerator to eat and watch this show on TV!!!!
23,Olá  gostaria da participação do Fiuk em algum quadro no  #MaisVoce. Obrigada!,"Hello, I would like to have Fiuk participated in a ","Hello, I would like Fiuk to participate in some picture on #MaisVoce."
24,"Vivendo e aprendendo, enfrentar os medos e procurar ajuda é sempre a melhor maneira. #ConversaComBial",#ConversationCombined,"Living and learning, facing fears and seeking help is always the best way. #ConversaComBial"
25,o prato do Vitor B ficou ruim MEU DEUS TO PASSANDO MAL NAAAAOOO #MasterChefBR,MUSUS TO PASSING MAL NAAAAOOO #,The Vitor B's dish was bad my God to pass bad NAAAOOO #MasterChefBR
26,VANESSA DA MATA MELHOR PESSOA! #AltasHoras,#TimeTimeTimeTimeTimeTimeTimeTimeTimeTimeTimeTimeTimeTimeTimeTimeTimeTime,The Death of the Best People! #High Hours
27,#MasterChefBR FIQUEI MUITO NERVOSA ACHEI Q MINHA YUKO IA SAIR,I thought that YUKO IS HEALTH YOU,#MasterChefBR I've been very nervous I've got my YUKO I'll go out
28,"Irmãs Galvão amores de pessoas. #Encontro
#IrmãsGalvao",#Meeting #IrmãsGalvao,Brothers Galvão loves people. #Meet #BrothersGalvao
29,"João Vicente no Encontro hoje, e eu vou estar aonde? No colégio, fazendo prova de matemática, isso mesmo. #Encontro","#Encounter meeting today, and I'll be where?""","John Vicente in Meeting today, and I’m going to be where? in college, doing math test, that’s the same."
30,#VideoShowAoVivo esse programa é demais com esses dois ao vivo... vocês podiam mostrar os bastidores DO VIDEO SHOW NÉ.. #CURIOSO KKK,You could show the backstage of the VIDEO SHOW NÉ.,#VideoShowAoLive this program is too much with these two live... you could show the backgrounds of the VIDEO SHOW NO.. #CURIOSO KKK
31,"Tantos embustes pra sair do #MasterChefBR, e tiram justamente o #MasterCrush. Pfvr, alguém repesca o .",Someone repeats the .,"So many fools to get out of #MasterChefBR, and take just the #MasterCrush."
