,tweets_original,tweets_translater_unicamp,tweets_translater_face,polaridade
0,Que coisa linda! O Programa #encontro estava mostrando uma familia que adotou um adolescente de 18 anos. Que amor!!!,The #encontro Program was showing a family that adopted a 18,What a beautiful thing! The #touch program was showing a family who adopted a 18-year-old teenager. What love!!!,1
1,"Por mais #Encontro com as Irmãs Galvão, adorei elas.",I loved them.,"For more I met with the Galvan Sisters, I loved them.",1
2,"Mr. CATRA  lançando sua nova música PPK CHORA no  k k k👅😉
#TheNoite #MrCatra #PpkChora",CATRA launching its new song PPK CHORA no k,Mr. CATRA releases his new song PPK CHORA on k k<unk>😉 #TheNoite #MrCatra #PpkChora,1
3,quem viu aquela lutadora modela barbuda tatuada? #MasterChefBR,#MasterChefBR,Who saw that fighter model tattooed? #MasterChefBR,0
4,Tô passada com esse cara.... quanta merda pode sair da boca de alguém em alguns minutos! 😠 #Encontro,"I'm handled with this guy.... how mu""",How much shit can come out of someone’s mouth in a few minutes!,-1
5,"Cibele arrasou, humilhou!! #VideoShowAoVivo",#VideoShowAoVideo,"The cave has broken, humiliated!! #VideoShowAoVivo",1
6,Em Minas sacolé é chup chup!  #videoshowaovivo,In Minas sacolé is chup chup! #videoshowaovivo,In Minas sacolé is chup chup! #videohowaovivo,0
7,"Meu prato MasterChef de sardinha enlatada seria jogar ela no prato, cozinhar arroz e ainda colocar batata palha junto #MasterChefBR",My dish MasterChef of sauced sardine would be to th,"My MasterChef dish of enlated sardine would be playing it on the dish, cook rice and still put potato palma next to #MasterChefBR",0
8,"Esse japa não entendi porra nenhuma de orquídeas. Essa não é catleya Walkiriana, é uma Nobilior #encontro","This is not catleya Walkiriana, it is a Nobilior #me","This japa I didn't understand any of orchids. This is not catleya Walkiriana, it's a Nobilior #encounter",-1
9,A Cearamirinense mais famosa do Brasil no #Edecasa  ♥ Linda,The most famous Cearamirinense in Brazil in #Edecasa ♥,The most famous Cearamirinense in Brazil at #Edecasa ♥ Linda,1
10,"nào sei vocês, mas quero  no #powercoupleBrasil com a  e num reality tipo Dr Rey. Até no #MasterChefBR tá bom","Even in #MasterChefBR it's good, I want to""","I know you, but I want to #powercoupleBrasil with a and a reality like Dr. Rey.",1
11,"Tem q passar essa entrevista em telões nas praças
#TheNoite",It is important to pass this interview on squares on the,It has q to spend this interview on telons on the #TheNoite squares,1
12,Estou todo derretido com o amor do Serginho e Thomas no #AltasHoras,I am all melted with the love of Serginho and Thomas in #,I'm all overwhelmed with the love of Serginho and Thomas in #AltasHoras,1
13,Fatima Bernardes sobre o sotaque hahaha coerência profissional #VideoShowAoVivo,Fatima Bernardes on the accent hahahahahahahahahaha,Fatima Bernardes on the accent hahaha professional coherence #VideoShowAoVivo,0
14,Augusto Cury no #ConversaComBial IMPERDÍVEL!!!,Augusto Cury in #IMPERDIBLE ConversaComBial!!!,August Cury on #ConversaComBial IMPERDIBLE!!!,1
15,#VideoShowAoVivo Sophia super sensual com essa roupa!!!!!!!!,"The women's lifestyle is very sensual with this clothe""",#VideoShowAoVivo Sophia super sensual with this dress!!!!,1
