text,sentiment,textEnglish,sentimentEnglish
Que coisa linda! O Programa #encontro estava mostrando uma familia que adotou um adolescente de 18 anos. Que amor!!!,1,What a beautiful thing! The #touch program was showing a family who adopted a 18-year-old teenager. What love!!!,1
"Por mais #Encontro com as Irmãs Galvão, adorei elas.",1,"For more I met with the Galvan Sisters, I loved them.",1
"Mr. CATRA @OficialMrCatra lançando sua nova música PPK CHORA no @SBTTheNoite k k k👅😉
#TheNoite #MrCatra #PpkChora",1,Mr. CATRA @OficialMrCatra releases its new PPK CHORA music on @SBTTheNoite k k<unk>😉 #TheNoite #MrCatra #PpkChora,1
"Cibele arrasou, humilhou!! #VideoShowAoVivo",1,"The cave has broken, humiliated!! #VideoShowAoVivo",-1
A Cearamirinense mais famosa do Brasil no #Edecasa @_robertasa ♥ Linda,1,The most famous Cearamirinense in Brazil at #Edecasa @_robertasa ♥ Linda,1
"nào sei vocês, mas quero @marcos_harter no #powercoupleBrasil com a @emillyaraujoof e num reality tipo Dr Rey. Até no #MasterChefBR tá bom",1,"I know you, but I want @marcos_harter on #powercoupleBrazil with @emillyaraujoof and in a reality like Dr Rey.",0
"Tem q passar essa entrevista em telões nas praças
#TheNoite",1,It has q to spend this interview on telons on the #TheNoite squares,0
Estou todo derretido com o amor do Serginho e Thomas no #AltasHoras,1,I'm all overwhelmed with the love of Serginho and Thomas in #AltasHoras,1
Augusto Cury no #ConversaComBial IMPERDÍVEL!!!,1,August Cury on #ConversaComBial IMPERDIBLE!!!,1
#VideoShowAoVivo Sophia super sensual com essa roupa!!!!!!!!,1,#VideoShowAoVivo Sophia super sensual with this dress!!!!,1
