tweets_original,tweets_translater_face,polarity,polarityMultiClassifierTweetsOriginal,polarityMultiClassifierTweetsTraduzido
Que coisa linda! O Programa #encontro estava mostrando uma familia que adotou um adolescente de 18 anos. Que amor!!!,What a beautiful thing! The #touch program was showing a family who adopted a 18-year-old teenager. What love!!!,1.0,1.0,1.0
"Por mais #Encontro com as Irmãs Galvão, adorei elas.","For more I met with the Galvan Sisters, I loved them.",1.0,1.0,1.0
"Mr. CATRA  lançando sua nova música PPK CHORA no  k k k👅😉
#TheNoite #MrCatra #PpkChora",Mr. CATRA releases his new song PPK CHORA on k k<unk>😉 #TheNoite #MrCatra #PpkChora,1.0,0.0,0.0
quem viu aquela lutadora modela barbuda tatuada? #MasterChefBR,Who saw that fighter model tattooed? #MasterChefBR,0.0,-1.0,0.0
Tô passada com esse cara.... quanta merda pode sair da boca de alguém em alguns minutos! 😠 #Encontro,How much shit can come out of someone’s mouth in a few minutes!,-1.0,-1.0,-1.0
"Cibele arrasou, humilhou!! #VideoShowAoVivo","The cave has broken, humiliated!! #VideoShowAoVivo",1.0,1.0,-1.0
Em Minas sacolé é chup chup!  #videoshowaovivo,In Minas sacolé is chup chup! #videohowaovivo,0.0,0.0,0.0
"Meu prato MasterChef de sardinha enlatada seria jogar ela no prato, cozinhar arroz e ainda colocar batata palha junto #MasterChefBR","My MasterChef dish of enlated sardine would be playing it on the dish, cook rice and still put potato palma next to #MasterChefBR",0.0,0.0,0.0
"Esse japa não entendi porra nenhuma de orquídeas. Essa não é catleya Walkiriana, é uma Nobilior #encontro","This japa I didn't understand any of orchids. This is not catleya Walkiriana, it's a Nobilior #encounter",-1.0,-1.0,-1.0
A Cearamirinense mais famosa do Brasil no #Edecasa  ♥ Linda,The most famous Cearamirinense in Brazil at #Edecasa ♥ Linda,1.0,1.0,1.0
"nào sei vocês, mas quero  no #powercoupleBrasil com a  e num reality tipo Dr Rey. Até no #MasterChefBR tá bom","I know you, but I want to #powercoupleBrasil with a and a reality like Dr. Rey.",1.0,0.0,0.0
"Tem q passar essa entrevista em telões nas praças
#TheNoite",It has q to spend this interview on telons on the #TheNoite squares,1.0,0.0,0.0
Estou todo derretido com o amor do Serginho e Thomas no #AltasHoras,I'm all overwhelmed with the love of Serginho and Thomas in #AltasHoras,1.0,1.0,1.0
Fatima Bernardes sobre o sotaque hahaha coerência profissional #VideoShowAoVivo,Fatima Bernardes on the accent hahaha professional coherence #VideoShowAoVivo,0.0,1.0,1.0
Augusto Cury no #ConversaComBial IMPERDÍVEL!!!,August Cury on #ConversaComBial IMPERDIBLE!!!,1.0,1.0,1.0
#VideoShowAoVivo Sophia super sensual com essa roupa!!!!!!!!,#VideoShowAoVivo Sophia super sensual with this dress!!!!,1.0,1.0,1.0
Caraaaaaa não dormi ainda por causa desse cara: Padre Fábio de Melo ❤️ quanta sabedoria!!! #conversacombial,"I'm not sure I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it, I'm going to do it.",1.0,1.0,0.0
"Depois eu vou assistir, espero que ela cante a nova música!
#Encontro
#SandyNoEncontro","Then I'm going to watch, I hope she's singing the new song! #Meet #SandyNoMeet",1.0,1.0,1.0
ai mds é agora #MasterChefBR,AI is now #MasterChefBR,1.0,0.0,0.0
Aí vc fica até 01h00 assistindo #MasterChefBR e acorda cedo pra ir trabalhar parecendo um zumbi,Here you stay until 1h00 watching #MasterChefBR and wake up early to go to work like a zumbi,-1.0,-1.0,-1.0
fico assistindo #MasterChefBR  dá muuuita vontade de comer rs,I stay watching #MasterChefBR gives muuuita will to eat rs,1.0,1.0,1.0
Imagina que insuportável ter de dar de comer pra uma gente que calcula CADA CALORIA que come? Jesus... #MasterChefBR,Imagine how unbearable it is to have to give food to a people who calculates Every CALORY they eat?,-1.0,-1.0,-1.0
#MasterChefBR Começaaaaaaaaaaaaaaaaaaaaa a hora de procurar algo na geladeira pra comer e acompanhar este show na TV !!!! 😆,#MasterChefBR Begins the time to look for something in the refrigerator to eat and watch this show on TV!!!!,1.0,1.0,0.0
Olá  gostaria da participação do Fiuk em algum quadro no  #MaisVoce. Obrigada!,"Hello, I would like Fiuk to participate in some picture on #MaisVoce.",0.0,0.0,0.0
"Vivendo e aprendendo, enfrentar os medos e procurar ajuda é sempre a melhor maneira. #ConversaComBial","Living and learning, facing fears and seeking help is always the best way. #ConversaComBial",1.0,1.0,1.0
o prato do Vitor B ficou ruim MEU DEUS TO PASSANDO MAL NAAAAOOO #MasterChefBR,The Vitor B's dish was bad my God to pass bad NAAAOOO #MasterChefBR,-1.0,-1.0,-1.0
VANESSA DA MATA MELHOR PESSOA! #AltasHoras,The Death of the Best People! #High Hours,1.0,1.0,-1.0
#MasterChefBR FIQUEI MUITO NERVOSA ACHEI Q MINHA YUKO IA SAIR,#MasterChefBR I've been very nervous I've got my YUKO I'll go out,-1.0,-1.0,-1.0
"Irmãs Galvão amores de pessoas. #Encontro
#IrmãsGalvao",Brothers Galvão loves people. #Meet #BrothersGalvao,1.0,1.0,1.0
"João Vicente no Encontro hoje, e eu vou estar aonde? No colégio, fazendo prova de matemática, isso mesmo. #Encontro","John Vicente in Meeting today, and I’m going to be where? in college, doing math test, that’s the same.",-1.0,0.0,0.0
#VideoShowAoVivo esse programa é demais com esses dois ao vivo... vocês podiam mostrar os bastidores DO VIDEO SHOW NÉ.. #CURIOSO KKK,#VideoShowAoLive this program is too much with these two live... you could show the backgrounds of the VIDEO SHOW NO.. #CURIOSO KKK,1.0,1.0,-1.0
"Tantos embustes pra sair do #MasterChefBR, e tiram justamente o #MasterCrush. Pfvr, alguém repesca o .","So many fools to get out of #MasterChefBR, and take just the #MasterCrush.",-1.0,-1.0,-1.0
Adoro a voz do Pr. Fabio de Melo 😍#ConversaComBial,I love the voice of Pr. Fabio de Melo #ConversaComBial,1.0,1.0,1.0
 #MasterChefBR começou! Junto com o jogo da liberta e gsw x spurs. Que terça.,#MasterChefBR started! Together with the game of freedom and gsw x spurs.,1.0,1.0,1.0
